test_movie,control,objective,packet,horizon,windows,component_rmse,vector_rmse,component_r2,vector_r2,r2,baseline_component_rmse,baseline_vector_rmse,baseline_component_r2,baseline_vector_r2,baseline_r2,component_rmse_delta,rmse_improvement_percent,selected_alpha,selected_bound_px,validation_score,contract,objective_name,variant,protocol,validation_h1_gain,h1_guard_percent
1,no_update,h1_strict,none,1,14446,3.439468548617472,4.864143068810534,0.48741308058582733,0.48875458576031305,0.48875458576031305,3.439468548617472,4.864143068810534,0.48741308058582733,0.48875458576031305,0.48875458576031305,0.0,0.0,,0.0,,streaming_receding_h1,no_update,no_update,strict_fold_local_streaming,,
1,no_update,h1_strict,none,2,14078,4.654817774545505,6.582906427137599,0.709101066973369,0.7106420137563161,0.7106420137563161,4.654817774545505,6.582906427137599,0.709101066973369,0.7106420137563161,0.7106420137563161,0.0,0.0,,0.0,,streaming_receding_h1,no_update,no_update,strict_fold_local_streaming,,
1,no_update,h1_strict,none,4,13348,6.56971205285295,9.290975886030628,0.8231253778816919,0.8246075819804406,0.8246075819804406,6.56971205285295,9.290975886030628,0.8231253778816919,0.8246075819804406,0.8246075819804406,0.0,0.0,,0.0,,streaming_receding_h1,no_update,no_update,strict_fold_local_streaming,,
1,no_update,h1_strict,none,6,12627,7.968048500592912,11.2685222551851,0.86409412950239,0.8653610978960501,0.8653610978960501,7.968048500592912,11.2685222551851,0.86409412950239,0.8653610978960501,0.8653610978960501,0.0,0.0,,0.0,,streaming_receding_h1,no_update,no_update,strict_fold_local_streaming,,
1,real,h1_strict,update_only,1,14446,3.4381236840447773,4.862241143092273,0.48800869602978003,0.4891543111338372,0.4891543111338372,3.439468548617472,4.864143068810534,0.48741308058582733,0.48875458576031305,0.48875458576031305,0.0013448645726947817,0.039100941139158345,1.0,1.5,0.9781500437144455,streaming_receding_h1,h1_strict,h1_strict_real,strict_fold_local_streaming,0.32541492641455655,0.5
1,real,h1_strict,update_only,2,14078,4.3079054916234805,6.092298371675462,0.7510000758134412,0.752165113782198,0.752165113782198,4.654817774545505,6.582906427137599,0.709101066973369,0.7106420137563161,0.7106420137563161,0.34691228292202414,7.452757545506635,1.0,1.5,0.9781500437144455,streaming_receding_h1,h1_strict,h1_strict_real,strict_fold_local_streaming,0.32541492641455655,0.5
1,real,h1_strict,update_only,4,13348,5.736775507730594,8.113025727322405,0.8653214686401403,0.8662622981479071,0.8662622981479071,6.56971205285295,9.290975886030628,0.8231253778816919,0.8246075819804406,0.8246075819804406,0.8329365451223554,12.67843306405866,1.0,1.5,0.9781500437144455,streaming_receding_h1,h1_strict,h1_strict_real,strict_fold_local_streaming,0.32541492641455655,0.5
1,real,h1_strict,update_only,6,12627,6.782919763333693,9.592497121795013,0.9017097471968907,0.9024336668387227,0.9024336668387227,7.968048500592912,11.2685222551851,0.86409412950239,0.8653610978960501,0.8653610978960501,1.1851287372592187,14.873513096350154,1.0,1.5,0.9781500437144455,streaming_receding_h1,h1_strict,h1_strict_real,strict_fold_local_streaming,0.32541492641455655,0.5
1,wrong_cell,h1_strict,update_only,1,14446,3.4771585241648797,4.917444743395189,0.4762467054794085,0.47748865814758534,0.47748865814758534,3.439468548617472,4.864143068810534,0.48741308058582733,0.48875458576031305,0.48875458576031305,-0.037689975547407606,-1.0958081172906047,1.0,1.5,0.9781500437144455,streaming_receding_h1,h1_strict,h1_strict_wrong_cell,strict_fold_local_streaming,0.32541492641455655,0.5
1,wrong_cell,h1_strict,update_only,2,14078,4.720101813764173,6.675232000807138,0.7010099399520924,0.7024685776187976,0.7024685776187976,4.654817774545505,6.582906427137599,0.709101066973369,0.7106420137563161,0.7106420137563161,-0.06528403921866843,-1.4025047247965094,1.0,1.5,0.9781500437144455,streaming_receding_h1,h1_strict,h1_strict_wrong_cell,strict_fold_local_streaming,0.32541492641455655,0.5
1,wrong_cell,h1_strict,update_only,4,13348,6.643330237856612,9.3950877217001,0.8192596539588434,0.8206547707349782,0.8206547707349782,6.56971205285295,9.290975886030628,0.8231253778816919,0.8246075819804406,0.8246075819804406,-0.0736181850036628,-1.120569431527726,1.0,1.5,0.9781500437144455,streaming_receding_h1,h1_strict,h1_strict_wrong_cell,strict_fold_local_streaming,0.32541492641455655,0.5
1,wrong_cell,h1_strict,update_only,6,12627,8.042596730323607,11.373949372721153,0.8616188731616878,0.8628299775607764,0.8628299775607764,7.968048500592912,11.2685222551851,0.86409412950239,0.8653610978960501,0.8653610978960501,-0.07454822973069586,-0.9355895577837992,1.0,1.5,0.9781500437144455,streaming_receding_h1,h1_strict,h1_strict_wrong_cell,strict_fold_local_streaming,0.32541492641455655,0.5
