objective_name,packet_name,control,horizon,movies,component_rmse_mean,component_rmse_std,vector_rmse_mean,r2_mean,v97_component_rmse_mean,gain_vs_v97_percent_mean,movies_improved_vs_v97,sign_flip_p,bootstrap_mean_delta,bootstrap_ci_low,bootstrap_ci_high,bootstrap_probability_positive
h1_strict,own_local,imm_cv_ca_turn,2,7,4.928032550320766,0.17638838924264275,6.969290468479699,0.6799039978199726,4.3704799043987395,-12.793246652929893,0,0.015625,-0.5575169468983263,-0.5826076077411265,-0.5271321957812274,0.0
h1_strict,own_local,imm_cv_ca_turn,4,7,6.486481052290116,0.1569646888665218,9.173269476224785,0.8329681499535805,5.602715480152857,-15.811252521110697,0,0.015625,-0.8838548653994123,-0.9358491637406647,-0.8270502538192434,0.0
h1_strict,own_local,imm_cv_ca_turn,6,7,7.631675543784056,0.18953333622184992,10.792819057650478,0.8809993794220234,6.496100228503578,-17.51866987741915,0,0.015625,-1.135143352230659,-1.2053260386642042,-1.0651072614918786,0.0
h1_strict,own_local,kalman_ca,1,7,4.201152536187616,0.2459083431792253,5.941326894274653,0.23084825131484107,3.420378932523928,-22.885178364896724,0,0.015625,-0.7807585799987249,-0.7988693634237182,-0.7651579940276197,0.0
h1_strict,own_local,kalman_ca,2,7,5.538481218848481,0.20302144931362673,7.832595254644191,0.5955996248727703,4.3704799043987395,-26.758188962572607,0,0.015625,-1.1680998159669644,-1.184121720876745,-1.1516504534668088,0.0
h1_strict,own_local,kalman_ca,4,7,6.676050236108631,0.1639574494968819,9.441360786988929,0.8229894041302711,5.602715480152857,-19.190893049333663,0,0.015625,-1.0734007597809627,-1.112252914838354,-1.0313150742938162,0.0
h1_strict,own_local,kalman_ca,6,7,6.934950076944387,0.16782760675780786,9.807500453195088,0.9016893607363388,6.496100228503578,-6.78965405059978,0,0.015625,-0.43834572289119933,-0.5019967481721838,-0.37109473620916295,0.0
h1_strict,own_local,kalman_cv,1,7,3.7425560641384408,0.2129918902500256,5.292773543846253,0.38961565191379083,3.420378932523928,-9.480259971882772,0,0.015625,-0.32210990854407556,-0.3361172804594677,-0.3085051474903818,0.0
h1_strict,own_local,kalman_cv,2,7,4.9280303065330004,0.16449343858512216,6.96928729528461,0.6798814175216054,4.3704799043987395,-12.801029719429808,0,0.015625,-0.5574683557991233,-0.5810190034479101,-0.530088283611674,0.0
h1_strict,own_local,kalman_cv,4,7,6.531656804060133,0.14378492771088142,9.237157637068341,0.8306074155442056,5.602715480152857,-16.62403012158685,0,0.015625,-0.9290078626840943,-0.9815583126819512,-0.8681758180689457,0.0
h1_strict,own_local,kalman_cv,6,7,7.600179935035357,0.16539600900445958,10.748277540602869,0.881959791415507,6.496100228503578,-17.044532034404885,0,0.015625,-1.1034775126794345,-1.1775257317441503,-1.018816483212285,0.0
h1_strict,own_local,real,1,7,3.4133488053385506,0.18760602260498702,4.827204173619779,0.49242058912120873,3.420378932523928,0.13695146520745147,3,0.703125,0.007194495160595291,-0.024387731573803504,0.04271939785808332,0.64125
